simulation,analysis,data,node,trial,scenario,heuristic,type,time,simulator-normalization
1,4,4,128,1,increasing0.25,model-model,Simulator,72.8439,1.0
1,4,4,128,1,increasing0.25,model-model,Model(B),5.619088718667962,12.96365009471999839590
1,4,4,128,1,increasing0.25,model-model,Model(B1),5.619088718667962,12.96365009471999839590
1,4,4,128,1,increasing0.25,model-model,Model(B2),51.72038880427458,1.40841748648996248034
1,4,4,128,1,increasing0.25,model-model,Model(B3),51.72038880427458,1.40841748648996248034
1,4,4,128,1,increasing0.25,model-even,Simulator,72.8334,1.0
1,4,4,128,1,increasing0.25,model-even,Model(B),5.852099403927069,12.44568743161213678353
1,4,4,128,1,increasing0.25,model-even,Model(B1),5.852099403927069,12.44568743161213678353
1,4,4,128,1,increasing0.25,model-even,Model(B2),51.72038880427458,1.40821447177482305746
1,4,4,128,1,increasing0.25,model-even,Model(B3),51.72038880427458,1.40821447177482305746
1,4,4,128,1,increasing0.25,even-model,Simulator,72.8265,1.0
1,4,4,128,1,increasing0.25,even-model,Model(B),8.165238294314383,8.91909058559999811126
1,4,4,128,1,increasing0.25,even-model,Model(B1),8.165238294314383,8.91909058559999811126
1,4,4,128,1,increasing0.25,even-model,Model(B2),28.284587627337665,2.57477679927748405324
1,4,4,128,1,increasing0.25,even-model,Model(B3),28.284587627337665,2.57477679927748405324
1,4,4,128,1,increasing0.25,even-even,Simulator,72.8112,1.0
1,4,4,128,1,increasing0.25,even-even,Model(B),8.503831946331522,8.56216355867781566960
1,4,4,128,1,increasing0.25,even-even,Model(B1),8.503831946331522,8.56216355867781566960
1,4,4,128,1,increasing0.25,even-even,Model(B2),28.284587627337665,2.57423586864057378698
1,4,4,128,1,increasing0.25,even-even,Model(B3),28.284587627337665,2.57423586864057378698
1,4,4,128,1,increasing0.5,model-model,Simulator,145.0354,1.0
1,4,4,128,1,increasing0.5,model-model,Model(B),5.527622873345936,26.23829507243650722114
1,4,4,128,1,increasing0.5,model-model,Model(B1),6.633644939422034,21.86360610561053347037
1,4,4,128,1,increasing0.5,model-model,Model(B2),63.016646515392395,2.30154106922483999134
1,4,4,128,1,increasing0.5,model-model,Model(B3),121.65953509701248,1.19214165896941313438
1,4,4,128,1,increasing0.5,model-even,Simulator,145.0140,1.0
1,4,4,128,1,increasing0.5,model-even,Model(B),5.8698509693585965,24.70488616440049081057
1,4,4,128,1,increasing0.5,model-even,Model(B1),6.721968026513755,21.57314635059477865428
1,4,4,128,1,increasing0.5,model-even,Model(B2),63.10496960248412,2.29798066481108867012
1,4,4,128,1,increasing0.5,model-even,Model(B3),121.74785818410419,1.19110103588609590634
1,4,4,128,1,increasing0.5,even-model,Simulator,145.0437,1.0
1,4,4,128,1,increasing0.5,even-model,Model(B),5.959468410326087,24.33836208422213559867
1,4,4,128,1,increasing0.5,even-model,Model(B1),6.115391428529687,23.71781131185458823579
1,4,4,128,1,increasing0.5,even-model,Model(B2),58.093471006377364,2.49672979574722683178
1,4,4,128,1,increasing0.5,even-model,Model(B3),112.15488391755837,1.29324461792156277643
1,4,4,128,1,increasing0.5,even-even,Simulator,145.0290,1.0
1,4,4,128,1,increasing0.5,even-even,Model(B),6.328433076339738,22.91704727703028777232
1,4,4,128,1,increasing0.5,even-even,Model(B1),6.328433076339738,22.91704727703028777232
1,4,4,128,1,increasing0.5,even-even,Model(B2),58.17489385229004,2.49298263213403302244
1,4,4,128,1,increasing0.5,even-even,Model(B3),112.23630676347105,1.29217544823206720429
1,4,4,128,1,increasing0.75,model-model,Simulator,217.2765,1.0
1,4,4,128,1,increasing0.75,model-model,Model(B),5.555319401311249,39.11143253954312207394
1,4,4,128,1,increasing0.75,model-model,Model(B1),7.142620988612835,30.41971572429705036927
1,4,4,128,1,increasing0.75,model-model,Model(B2),67.47312858408921,3.22019305402767132754
1,4,4,128,1,increasing0.75,model-model,Model(B3),192.89604853694672,1.12639165834640476208
1,4,4,128,1,increasing0.75,model-even,Simulator,217.2700,1.0
1,4,4,128,1,increasing0.75,model-even,Model(B),6.184605051877471,35.13078008660277816447
1,4,4,128,1,increasing0.75,model-even,Model(B1),7.132687990514711,30.46116699467759871478
1,4,4,128,1,increasing0.75,model-even,Model(B2),67.46319558599109,3.22057083292266527242
1,4,4,128,1,increasing0.75,model-even,Model(B3),192.8861155388486,1.12641596515660204031
1,4,4,128,1,increasing0.75,even-model,Simulator,,1.0
1,4,4,128,1,increasing0.75,even-model,Model(B),7.291356714221014,
1,4,4,128,1,increasing0.75,even-model,Model(B1),9.374690047554349,
1,4,4,128,1,increasing0.75,even-model,Model(B2),88.5584812666171,
1,4,4,128,1,increasing0.75,even-model,Model(B3),253.17606370474257,
1,4,4,128,1,increasing0.75,even-even,Simulator,217.2293,1.0
1,4,4,128,1,increasing0.75,even-even,Model(B),7.278319654217223,29.84607853464259860363
