simulation,analysis,data,node,scenario,heuristic,time,model,model-bw,ideal-normalization,model-normalization
1,4,4,64,decreasing0.25,model-model,73.3608,27.871241841627896,205.94543167334209,8.81560258120335989040,1.00000000000000000000
1,4,4,64,decreasing0.25,model-even,73.4194,32.66095317725753,205.94543167334209,6.24649259382152003198,1.00079879172528107654
1,4,4,64,decreasing0.25,even-model,73.0318,44.41979168509446,205.94543167334209,8.77606739007654685941,.99551531608161306855
1,4,4,64,decreasing0.25,even-even,73.0556,44.41979168509446,205.94543167334209,6.21554063826709887099,.99583974002464531466
1,4,4,64,decreasing0.5,model-model,146.9976,75.66553498298605,203.2438103322659,17.66437146256173618371,1.00000000000000000000
1,4,4,64,decreasing0.5,model-even,147.6605,80.87474120082815,203.2438103322659,12.56289508835515624867,1.00450959743560439081
1,4,4,64,decreasing0.5,even-model,145.2839,141.87287809309882,203.2438103322659,17.45843998221517238064,.98834198653583459866
1,4,4,64,decreasing0.5,even-even,145.2790,143.1997110001747,203.2438103322659,12.36027804010651964913,.98830865265827469292
1,4,4,64,decreasing0.75,model-model,222.8164,138.78611229980814,203.2438103322659,26.77534638355143780717,1.00000000000000000000
1,4,4,64,decreasing0.75,model-even,222.9080,140.79812976457805,203.2438103322659,18.96492168423560240605,1.00041110079868447744
1,4,4,64,decreasing0.75,even-model,217.4672,268.89809258087826,268.89809258087826,26.13254503286588076955,.97599279047682307047
1,4,4,64,decreasing0.75,even-even,217.4318,272.79637641886995,272.79637641886995,18.49900882275368607332,.97583391527733147111
1,4,4,64,ideal,model-model,10.3350,10.10934265010352,10.10934265010352,1.00000000000000000000,1.00000000000000000000
1,4,4,64,ideal,model-even,11.7508,11.530129076086956,11.530129076086956,1.00000000000000000000,1.13699080793420416061
1,4,4,64,ideal,even-model,10.3350,10.10934265010352,10.10934265010352,1.00000000000000000000,1.00000000000000000000
1,4,4,64,ideal,even-even,11.7508,11.530129076086956,11.530129076086956,1.00000000000000000000,1.13699080793420416061
1,4,4,64,transit,model-model,305.7171,233.4130009443167,233.4130009443167,29.58075471698113207547,1.00000000000000000000
1,4,4,64,transit,model-even,305.3972,234.36228996157374,234.36228996157374,25.98948156721244511012,.99895360776351731715
1,4,4,64,transit,even-model,289.7591,459.5318456091235,459.5318456091235,28.03668118045476536042,.94780141509912268564
1,4,4,64,transit,even-even,289.7027,461.40075836184826,461.40075836184826,24.65387037478299349831,.94761693081610416950
1,4,4,64,increasing0.25,model-model,73.0960,20.128824476650564,20.128824476650564,7.07266569908079342041,1.00000000000000000000
1,4,4,64,increasing0.25,model-even,73.0520,21.775560461956523,21.775560461956523,6.21676822003608264969,.99939805187698369267
1,4,4,64,increasing0.25,even-model,73.0110,23.149531299132583,23.149531299132583,7.06444121915820029027,.99883714567144576994
1,4,4,64,increasing0.25,even-even,72.9739,23.149531299132583,23.149531299132583,6.21012186404329917963,.99832959395862974718
1,4,4,64,increasing0.5,model-model,146.2457,58.93718007514591,58.93718007514591,14.15052733430091920657,1.00000000000000000000
1,4,4,64,increasing0.5,model-even,146.4568,62.50526325292503,62.50526325292503,12.46355992783470061612,1.00144346124364682175
1,4,4,64,increasing0.5,even-model,145.3142,104.98185200885364,104.98185200885364,14.06039671020803096274,.99363058195899093101
1,4,4,64,increasing0.5,even-even,145.2699,106.10299699572394,106.10299699572394,12.36255403887394900772,.99332766706986940470
1,4,4,64,increasing0.75,model-model,222.5395,129.21149511049492,129.21149511049492,21.53260764392839864537,1.00000000000000000000
1,4,4,64,increasing0.75,model-even,222.1901,146.98503311820653,146.98503311820653,18.90850835687782959458,.99842994165080805879
1,4,4,64,increasing0.75,even-model,217.5135,250.3472717765839,250.3472717765839,21.04629898403483309143,.97741524538340384516
1,4,4,64,increasing0.75,even-even,217.4845,251.89199308105023,251.89199308105023,18.50805902576845831773,.97728493143913777104
1,4,4,64,decreasing0.25,model-model,73.1884,25.572848970251723,251.89199308105023,7.08160619254958877600,1.00000000000000000000
1,4,4,64,decreasing0.25,model-even,73.1564,30.34244493707094,251.89199308105023,6.22565272151683289648,.99956277224259582119
1,4,4,64,decreasing0.25,even-model,73.0709,35.85523417433175,251.89199308105023,7.07023705853894533139,.99839455432828153095
1,4,4,64,decreasing0.25,even-even,73.0519,35.85523417433175,251.89199308105023,6.21675970997719304217,.99813495034732279978
1,4,4,64,decreasing0.5,model-model,146.9411,72.12626470932526,251.01857690941222,14.21781325592646347363,1.00000000000000000000
1,4,4,64,decreasing0.5,model-even,146.7330,80.2157482305359,251.01857690941222,12.48706471048779657555,.99858378629260295451
1,4,4,64,decreasing0.5,even-model,145.3247,132.98280055781845,251.01857690941222,14.06141267537493952588,.98899967401904572648
1,4,4,64,decreasing0.5,even-even,145.3094,133.01846903557384,251.01857690941222,12.36591551213534397658,.98889555066621932189
1,4,4,64,decreasing0.75,model-model,221.5701,147.19621735530276,247.52288950796654,21.43880986937590711175,1.00000000000000000000
1,4,4,64,decreasing0.75,model-even,221.8825,147.46710025702586,247.52288950796654,18.88233141573339687510,1.00140993753218507370
1,4,4,64,decreasing0.75,even-model,217.5759,285.19267112589915,285.19267112589915,21.05233671988388969521,.98197319945245319652
1,4,4,64,decreasing0.75,even-even,217.6172,285.7175067479876,285.7175067479876,18.51935187391496749157,.98215959644374398892
1,4,4,64,ideal,model-model,9.2117,8.96585064052795,8.96585064052795,1.00000000000000000000,1.00000000000000000000
1,4,4,64,ideal,model-even,12.3598,12.13949329797241,12.13949329797241,1.00000000000000000000,1.34175016555033272902
1,4,4,64,ideal,even-model,9.2117,8.96585064052795,8.96585064052795,1.00000000000000000000,1.00000000000000000000
1,4,4,64,ideal,even-even,12.3598,12.13949329797241,12.13949329797241,1.00000000000000000000,1.34175016555033272902
1,4,4,64,transit,model-model,307.0504,226.39455316998402,226.39455316998402,33.33265303906987852405,1.00000000000000000000
1,4,4,64,transit,model-even,305.6248,228.91361003412462,228.91361003412462,24.72732568488163238887,.99535711401125027031
1,4,4,64,transit,even-model,289.6943,445.71427655340614,445.71427655340614,31.44851656046115266454,.94347475202768014632
1,4,4,64,transit,even-even,289.7753,450.6736697546829,450.6736697546829,23.44498292852635155908,.94373855236795001732
1,4,4,64,increasing0.25,model-model,73.0087,16.7740203972088,16.7740203972088,7.92564890302550017912,1.00000000000000000000
1,4,4,64,increasing0.25,model-even,72.9825,21.041788383152177,21.041788383152177,5.90482855709639314552,.99964113865881737381
1,4,4,64,increasing0.25,even-model,72.9952,17.095475747947294,17.095475747947294,7.92418337548986614848,.99981509053030666208
1,4,4,64,increasing0.25,even-even,72.9706,19.726676609205164,19.726676609205164,5.90386575834560429780,.99947814438553213521
1,4,4,64,increasing0.5,model-model,145.9324,45.747328356024006,45.747328356024006,15.84207041045626757276,1.00000000000000000000
1,4,4,64,increasing0.5,model-even,146.0145,52.196684361307724,52.196684361307724,11.81366203336623569960,1.00056258925365443177
1,4,4,64,increasing0.5,even-model,145.1851,77.78059597930721,77.78059597930721,15.76094531953928156583,.99487913581905046446
1,4,4,64,increasing0.5,even-even,145.2336,78.58731218475705,78.58731218475705,11.75048139937539442385,.99521148148046629809
1,4,4,64,increasing0.75,model-model,220.2475,114.54040072756315,114.54040072756315,23.90953895589304905717,1.00000000000000000000
1,4,4,64,increasing0.75,model-even,220.7704,116.37324879737541,116.37324879737541,17.86197187656758199970,1.00237414726614377007
1,4,4,64,increasing0.75,even-model,217.4419,218.34263888691723,218.34263888691723,23.60496976670972784610,.98726160342342137822
1,4,4,64,increasing0.75,even-even,217.4441,221.83650551999685,221.83650551999685,17.59284939885758669234,.98727159218606340594
1,4,4,64,decreasing0.25,model-model,73.2706,28.07304111278686,221.83650551999685,7.95408013721680037343,1.00000000000000000000
1,4,4,64,decreasing0.25,model-even,73.2948,36.66978600543479,221.83650551999685,5.93009595624524668683,1.00033028254170158289
1,4,4,64,decreasing0.25,even-model,73.0540,42.98684420395488,221.83650551999685,7.93056656208951659302,.99704383477138170016
1,4,4,64,decreasing0.25,even-even,73.0654,42.98684420395488,221.83650551999685,5.91153578536869528633,.99719942241499318962
